"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"MANAGING",2,"Services aux Entreprises",NA,"Collaboration, équipe, Excel, Tableau, Visualisation de donnée",NA,"67"
"ADSEARCH",15,"Services aux Entreprises",1,"Anglais, Azure, Communication, équipe, Excel, Gestion de Projets, modélisation, Optimisation, Programmation, Rapport",48667,"44"
"OBJECTWARE",4,"Secteur informatique, ESN",1,"AWS, Azure, Bases de donnée, équipe, Power BI, Spark, SQL, Tableau",NA,"44"
"LA POSTE GROUPE",6,"Transport, Logistique",1,"Bases de donnée, équipe, Python, Reporting, Tableau",NA,"93"
"SII NORD",10,"Secteur informatique, ESN",0,"Anglais, Autonome, Autonôme, AWS, Azure, Collaboration, Créativité, Curiosité, Deep Learning, équipe, French, Git, Google Cloud, Hadoop, Optimisation, Programmation, Python, Rigueur, Spark, SQL, Tableau",31800,"59"
"EKKIDEN",2,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Bases de donnée, équipe, Git, Google Cloud, Hadoop, Spark, SQL",NA,"75"
"INFOTEL",4,"Secteur informatique, ESN",7,"Bases de donnée, équipe, Git, Hadoop, Spark, SQL",38000,"29"
"FAREVA IT APPS",2,"Industrie Manufacturière",7,"collecte de données, équipe, Reporting",NA,"26"
"INGENIANCE",2,"Secteur informatique, ESN",NA,"AWS, Azure, équipe",NA,"92"
"CIRIL GROUP",3,"Secteur informatique, ESN",1,"Bases de donnée, équipe, Statistique",NA,"13"
"AUTOMOTIVE CELLS COMPANY - ACC",5,"Industrie Manufacturière",3,"Database, Project Management",NA,"33"
"EVIDEN",5,"Secteur informatique, ESN",7,"Anglais, AWS, Communication, Communication Skills, Curiosité, data collection, Database, équipe, Excel, Hadoop, modélisation, Optimisation, Python, SQL",NA,"33"
"OPPBTP",2,"BTP",7,"Bases de donnée, Collaboration, équipe, Git, Intelligence artificielle, Optimisation, Spark, SQL",NA,"92"
"ACENSI",2,"Services aux Entreprises",7,"équipe, Git",45000,"33"
"CELAD",5,"Secteur informatique, ESN",7,"Anglais, Azure, modélisation, Power BI, Python, Reporting, Spark, SQL",35000,"92"
"ATOS",6,"Secteur informatique, ESN",0.75,"Anglais, Autonome, Autonôme, AWS, Azure, Collaboration, équipe, Français, Git, Google Cloud, Hadoop, modélisation, Optimisation, Python, Spark, SQL",NA,"33"
"NORGAY IT & DIGITAL SERVICES",6,"Secteur informatique, ESN",1,"Azure, équipe, Git, modélisation, Power BI, Rapport",36200,"44"
"AFD.TECH",3,"Secteur informatique, ESN",5,"",40000,"59"
"AXEAL",2,"Services aux Entreprises",0,"équipe, SQL",36000,"69"
"UNITED SOLUTIONS",2,"Secteur informatique, ESN",1,"équipe, modélisation, Optimisation",45000,"69"
"BOUYGUES CONSTRUCTION IT",2,"BTP",NA,"équipe, Optimisation, Power BI, Python",NA,"78"
"UNLCK RECRUTEMENT",4,"Services aux Entreprises, Secteur informatique, ESN",3.5,"AWS, Azure, équipe, Hadoop, Python, Spark, SQL",45500,"6"
"GROUPAGORA",7,"Secteur informatique, ESN",2.67,"Bases de donnée, Deep Learning, équipe, Intelligence artificielle, modélisation, Optimisation, Rapport, Reporting, Tableau",45000,"64"
"EXOTEC",4,"Industrie high-tech, Telecom",0,"Anglais, AWS, Collaboration, Communication, équipe, Excel, French, Programmation, Python, Reporting, SQL",NA,"59"
"HARDIS GROUP",7,"Secteur informatique, ESN",4.2,"Autonome, Autonôme, AWS, équipe, Minutieux, modélisation, Python, Spark, SQL",NA,"38"
"EXPECTRA",2,"Banque, Assurance, Finance",1,"Optimisation",40000,"44"
"INEAT",2,"Secteur informatique, ESN",NA,"équipe, Git, modélisation, Power BI, SQL",NA,"59"
"PROXIEL",3,"Secteur informatique, ESN",1,"Collaboration, équipe, Optimisation, Python, SQL",38000,"13"
"GROUPE CRÉATIVE",2,"Secteur informatique, ESN",1,"équipe, Git, Programming, Python, Reporting, Spark, SQL",40000,"59"
"INVIVO DIGITAL FACTORY",2,"Industrie Agro-alimentaire",7,"Collaboration, équipe, Git, modélisation, SQL",NA,"92"
"SOPRA STERIA",44,"Secteur informatique, ESN",5.2,"Adaptabilité, Anglais, AWS, Azure, Bases de donnée, Collaboration, collecte de données, Database, Dataviz, équipe, Esprit Critique, Excel, Git, Hadoop, modélisation, Optimisation, Power BI, Python, Rapport, Reporting, Spark, SQL, Tableau",NA,"44"
"FIDERIM DEUX SAVOIE",1,"Services aux Entreprises",1,"",30000,"74"
"GEODIS",1,"Transport, Logistique",1,"",NA,"73"
"MOBILIZE FINANCIAL SERVICES",1,"Banque, Assurance, Finance, Industrie Auto, Meca, Navale",1,"",NA,"93"
"PERSUADERS RH",2,"Services aux Entreprises",7,"équipe",NA,"92"
"AMILTONE",2,"Secteur informatique, ESN",7,"",31500,"59"
"AUDENSIEL TECHNOLOGIES",3,"Secteur informatique, ESN",7,"Bases de donnée, équipe, modélisation, Optimisation, SQL",NA,"33"
"MAZARS.",2,"Secteur informatique, ESN",7,"AWS, Azure, équipe, Git, Tableau",NA,"92"
"OPEN",2,"Secteur informatique, ESN",NA,"AWS, Azure, équipe, Git, Python, Spark",NA,"92"
"GROUPE ROULLIER",1,"Industrie Agro-alimentaire",0,"",NA,"35"
"CANAL PLUS",1,"Média, Internet, Communication",7,"",NA,"92"
"SII ATLANTIQUE",2,"Secteur informatique, ESN",NA,"Créativité, équipe, Spark",37500,"37"
"OTTEO",2,"Secteur informatique, ESN",1,"équipe, Google Cloud, modélisation",42000,"59"
"CLARANET",4,"Secteur informatique, ESN",7,"AWS, Azure, équipe, Git, Intelligence artificielle, modélisation, Power BI, Python, Spark, SQL",NA,"59"
"BPCE SOLUTIONS INFORMATIQUES",5,"Banque, Assurance, Finance",NA,"Adaptabilité, Collaboration, Curiosité, équipe, Git, Google Cloud, Optimisation, Python, Rigueur, Spark, SQL",NA,"44"
"VIVERIS.",5,"Secteur informatique, ESN",1,"équipe",40000,"94"
"SQLI",1,"Secteur informatique, ESN",0,"",NA,"76"
"ALPEE",3,"Secteur Energie, Environnement",1,"",36667,"74"
"LOC MARIA BISCUITS",2,"Industrie Agro-alimentaire",7,"Collaboration, équipe, modélisation, Power BI, Reporting",NA,"22"
"ADAPT RH",1,"Services aux Entreprises",7,"",60000,"75"
"BUT",2,"Distribution, Commerce de gros",NA,"Autonome, Autonôme, Bases de donnée, collecte de données, équipe, Excel, Git, Power BI, Python, Reporting, SQL, Statistique, Tableau",NA,"77"
"MOSICA",2,"Secteur informatique, ESN",1,"AWS, équipe, Hadoop, Programmation, Python, Spark",NA,"44"
"SFR",6,"Industrie high-tech, Telecom",0,"Adaptabilité, Anglais, Bases de donnée, Collaboration, Communication, Curiosité, Dataviz, équipe, Excel, Français, Google Cloud, Hadoop, Optimisation, Prévision, Programmation, Reporting, Spark, SQL, Statistique, Tableau, VBA",NA,"75"
"TUANIS IT",2,"Secteur informatique, ESN",7,"Anglais, équipe, Hadoop, modélisation, Optimisation, Power BI, Reporting, Spark, SQL",NA,"31"
"MORGAN PHILIPS EXECUTIVE SEARCH",2,"Industrie Pharmaceutique, Biotechn., Chimie",7,"Collaboration, équipe, Git",NA,"92"
"RSM",2,"Banque, Assurance, Finance",0,"Excel, Français, Optimisation, Rapport",NA,"44"
"HARRY HOPE",3,"Services aux Entreprises",1,"Bases de donnée, Collaboration, équipe, modélisation",41667,"21"
"SEPT LIEUES",5,"Services aux Entreprises",7,"Anglais, AWS, Communication, équipe, Git, Programming, Python, Spark, SQL, Statistique",60000,"75"
"PMU",3,"Service public des collectivités territoriales",1,"AWS, Collaboration, équipe, modélisation, Spark",60000,"75"
"K-RYOLE",2,"Industrie Manufacturière, Distribution, Commerce de gros",0,"équipe, Tableau",NA,"75"
"LR TECHNOLOGIES NORD",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Collaboration, équipe, Git, Google Cloud, modélisation, Power BI, SQL",40000,"59"
"ACCENTURE FRANCE",60,"Secteur informatique, ESN",6.4,"Créativité, équipe, Git",NA,"6"
"OMNICIEL",2,"Services aux Entreprises, Secteur informatique, ESN",1,"Dataviz, équipe, Rapport, Tableau",40000,"13"
"AZURA GROUP / DISMA INTERATIONAL",2,"Distribution, Commerce de gros",7,"Bases de donnée, Intelligence artificielle, Reporting, Tableau",NA,"66"
"SILKHOM",3,"Services aux Entreprises",NA,"équipe, Français, Power BI, Prévision, SQL",45000,"56"
"RAKAM",2,"Services aux Entreprises",NA,NA,NA,"92"
"AIS",2,"Secteur informatique, ESN",NA,"Bases de donnée, équipe, Excel, Optimisation, Power BI, SQL",NA,"44"
"EXTERNATIC",2,"Services aux Entreprises",1,"équipe, Rapport, Tableau",40000,"44"
"GROUPE OGF",2,"BEP, CAP, Services aux Personnes, Particuliers",NA,"Azure, Bases de donnée, équipe, modélisation, Power BI, SQL",52500,"13"
"JOB STAGING",2,"Industrie high-tech, Telecom, Secteur informatique, ESN",7,"Autonome, Autonôme, Collaboration, équipe, Git, modélisation, Optimisation, Power BI, Rigueur, SQL",NA,"56"
"SOREDAB",2,"Industrie Agro-alimentaire",0,"Azure, Curiosité, équipe, Git, Optimisation, Python, SQL",NA,"78"
"GROUPE ORTEC",2,"Industrie Pétrolière, Pétrochimie, Secteur Energie, Environnement",0,"Bases de donnée, équipe, NLP",NA,"92"
"SCALIAN",2,"Santé, Social, Association, Secteur informatique, ESN",7,"SQL, Tableau",38000,"35"
"TWENTY ONE TALENTS",2,"Industrie high-tech, Telecom, Média, Internet, Communication",7,"Collaboration, équipe, Optimisation",48000,"75"
"MASER ENGINEERING",2,"Services aux Entreprises",1,NA,30000,"31"
"CONSEPT INGENIERIE",1,"Secteur informatique, ESN",7,NA,30000,"35"
"ORANGE BUSINESS",4,"Secteur informatique, ESN",2.5,"équipe",NA,"13"
"BOUYGUES TRAVAUX PUBLICS",1,"BTP",0,"",NA,"26"
"ENDRIX",1,"BEP, CAP, Banque, Assurance, Finance",NA,"",NA,"69"
"ESPRIT RH",1,"Services aux Entreprises",1,"",NA,"31"
"MYDRAL",5,"Secteur informatique, ESN",7,"Anglais, Autonome, Autonôme, Dataviz, équipe, Excel, modélisation, Power BI, Python, Reporting, Rigueur, SQL, Tableau",49750,"75"
"SII OUEST",4,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Communication, Créativité, équipe, Hadoop, Spark, SQL",38750,"72"
"GALEC SERVICES CENTRAUX",6,"Distribution, Commerce de gros",1,"Autonome, Autonôme, Collaboration, Dataviz, équipe, Google Cloud, Python, SQL",NA,"94"
"REPRO-IT",2,"Distribution, Commerce de gros, Secteur informatique, ESN",7,"Collaboration, équipe",28800,"59"
"GROUPE ADP",4,"Transport, Logistique",0,"Anglais, équipe, Intelligence artificielle, Optimisation, Power BI, Prévision",NA,"94"
"CONSORT GROUP",2,"Secteur informatique, ESN",1,"Communication, équipe, Hadoop, Python, SQL",NA,"33"
"EDF",5,"Secteur Energie, Environnement",0,"Collaboration, équipe, Français, Python, SQL",NA,"92"
"CHR NUMÉRIQUE",1,"Secteur informatique, ESN",1,"",NA,"29"
"ASI",4,"Secteur informatique, ESN",7,"AWS, Azure, Bases de donnée, Communication, équipe, Git, Google Cloud, Hadoop, Programmation, Python, Spark, SQL",NA,"69"
"BRAINPOWER",1,"Secteur informatique, ESN",NA,"",NA,"38"
"ADEQUATION",1,"Services aux Entreprises, Immobilier",7,"",NA,NA
"WE IT",1,"Média, Internet, Communication, Secteur informatique, ESN",1,"",42000,NA
"ABIL RESSOURCES",1,"Services aux Entreprises, Secteur informatique, ESN",1,"Deep Learning",45000,"94"
"LE BON CANDIDAT RECRUTEMENT",1,"Services aux Entreprises",NA,"",40000,"94"
"CRÉDIT AGRICOLE GROUP INFRASTRUCTURE PLATEFORM",1,"Banque, Assurance, Finance",1,"",NA,"34"
"NAVA ENGINEERING",1,"Industrie Aéronautique, Aérospatial, Secteur informatique, ESN",7,"",43000,"31"
"SII EST",1,"Secteur informatique, ESN",1,"",30000,"67"
"ADOD",1,"Secteur informatique, ESN",7,"",NA,"69"
"MONDIAL RELAY",1,"Transport, Logistique",7,"",NA,"59"
"JOBMANIA",1,"Services aux Entreprises, Média, Internet, Communication",1,"",NA,"75"
"EXAKIS NELITE",1,"Secteur informatique, ESN",1,"",NA,"31"
"WALTERS PEOPLE",1,"Distribution, Commerce de gros",1,"",35000,"95"
"IN EXTENSO",2,"Secteur informatique, ESN",0.5,"AWS, Azure, équipe, Git, Power BI, Python, SQL, Tableau",NA,"75"
"52 ENTERTAINMENT",7,"",3,"A/B Testing, Communication, Communication Skills, English, Excel, SQL, Tableau",NA,NA
"EVS PROFESSIONNEL",15,"",3,"Bases de donnée, Collaboration, équipe, Excel, Git, Reporting, SQL, Statistique, Tableau",NA,"69"
"EVANEOS",13,"",3,"Autonome, Autonôme, équipe, Excel, Git, Rapport, Tableau",NA,NA
"DATASCIENTEST",17,"",1.5,"Anglais, Autonome, Autonôme, AWS, Azure, Base de donnée, Collaboration, Deep Learning, équipe, Excel, Git, Hadoop, Programmation, Python, Rapport, Rigueur, SQL",35975,"75"
"WANTEEED",7,"",4,"Autonome, Autonôme, Collaboration, Dataviz, équipe, R Studio, SQL, Statistique",45500,NA
"KAROS MOBILITY",7,"",3,"Collaboration, Communication, équipe, Excel, Python, R Studio, Rapport, SQL, Statistique",5000,NA
"CONTEXTE",7,"",5,"Collaboration, équipe, Python, SQL, Statistique, Tableau, Visualisation de donnée",NA,NA
"AGORASTORE",7,"",NA,"Anglais, AWS, Collaboration, Curiosité, équipe, Git, modélisation, Power BI, Programmation, Python, Rapport, Résolution de Problèmes, Rigueur, SQL, Tableau",NA,NA
"HOVE",7,"",NA,"Anglais, équipe, Français, Power BI, Rapport, SQL, Tableau",NA,NA
"CENOVA",9,"",2,"Anglais, Autonome, Autonôme, AWS, Azure, Curiosité, équipe, Git, modélisation, Power BI, Proactif, Python, Rapport, SQL, Statistique, Tableau",NA,"59"
"SKIILS",14,"",3,"Anglais, collecte de données, équipe, Excel, modélisation, Power BI, Prévision, Python, Rapport, Statistique, Tableau",51150,NA
"VISIAN",9,"",4,"Anglais, Bases de donnée, Git, Python, SQL, Tableau",NA,"75"
"LIVINGPACKETS",21,"",3,"Autonome, Autonôme, AWS, Azure, Bases de donnée, Collaboration, Deep Learning, équipe, Git, NLP, Optimisation, Programmation, Python, Reporting, Spark, SQL, Tableau",37100,NA
"MILLION VICTORIES",7,"",NA,"A/B Testing, Autonomous, Creativity, Database, English, Proactive, Programming, Python, SQL",NA,NA
"EVOTEO",21,"",3,"AWS, Azure, Base de donnée, équipe, Git, Hadoop, Power BI, Python, Rapport, Rigueur, Spark, SQL, Tableau",38433,NA
"WIVOO",16,"",NA,"Anglais, Autonome, Autonôme, AWS, Azure, Bases de donnée, Communication, équipe, Excel, Power BI, Programmation, Python, Rapport, Reporting, Résolution de Problèmes, Rigueur, Seaborn, Spark, SQL, Statistique, Tableau, Visualisation de donnée",NA,NA
"COFACE",7,"",NA,"Attention to Detail, Communication, Data Visualization, Database, Database Management, English, Excel, French, Power BI, Presentation Skills, Statistics",NA,NA
"HIPTO",7,"",NA,"AWS, Curiosité, équipe, Optimisation, Programmation, Python, SQL, Tableau",NA,NA
"WIZVILLE",7,"",2,"Bases de donnée, Collaboration, Communication, Curiosité, Data Visualization, équipe, modélisation, Programmation, Python, SQL",45500,NA
"BSPORT SOLUTION",7,"",NA,"AWS, Database, Optimisation, Proactive, Python, SQL",NA,NA
"THE PRODUCT CREW",7,"",NA,"Français",NA,NA
"TATA CONSULTANCY SERVICES",7,"",4,"Adaptability, Git, Programming, Project Management, SQL",NA,NA
"WARNER MUSIC FRANCE",7,"",NA,"Anglais, Collaboration, Communication, équipe, Excel, Français, Git, Python, Rapport, SQL, Tableau",NA,NA
"ERGOSS LOGICIELS",7,"",NA,"Autonome, Autonôme, équipe, Programmation, Rapport",NA,NA
"FAIRLY MADE",1,"",3,"",NA,NA
"APHP DSI",13,"",2,"Anglais, Bases de donnée, Collaboration, Deep Learning, équipe, Hadoop, Intelligence artificielle, modélisation, Optimisation, Python, Reporting, Spark, SQL, Statistique",NA,NA
"MP DATA",38,"",2.5,"Anglais, Autonome, Autonôme, AWS, Azure, Base de donnée, Collaboration, Deep Learning, équipe, Excel, Feature Engineering, Français, Git, Matplotlib, modélisation, NLP, Power BI, Programmation, Python, PyTorch, Spark, SQL, Statistique, TensorFlow",46541,"92"
"GALEC - MOUVEMENT E.LECLERC",28,"",5.5,"Azure, Bases de donnée, Collaboration, Communication, équipe, Gestion de Projets, Git, Google Cloud, modélisation, SQL, Statistique, Tableau",NA,NA
"CONSORTIA",7,"",NA,"Communication, équipe, Hadoop, modélisation, Optimisation, Spark, SQL",NA,NA
"RADÈS",7,"",3,"Anglais, Curiosité, équipe, Excel",45500,NA
"SAEGUS",7,"",4,"Anglais, Azure, équipe, Excel, Français, modélisation, Power BI, Python, SQL, Tableau",48600,NA
"CYLLENE",28,"",4,"Autonome, Autonôme, AWS, Azure, Collaboration, équipe, Git, Hadoop, Optimisation, Power BI, Programmation, Python, Spark, SQL",45500,NA
"INNOVELA",26,"",2,"Autonome, Autonôme, Bases de donnée, équipe, Hadoop, Programmation, Python, Spark",50700,NA
"KLINT CONSULTING",7,"",5,"équipe, Reporting",55700,NA
"HEALTH DATA HUB",7,"",NA,"Azure, Bases de donnée, Deep Learning, équipe, Git, NLP, Rigueur, Statistique",NA,NA
"LA RELÈVE",7,"",4,"Communication, équipe, Git, modélisation, Statistique",NA,NA
"DIRECTION INTERMINISTÉRIELLE DU NUMÉRIQUE (DINUM) – SERVICE DU PREMIER MINISTRE",7,"",NA,"Bases de donnée, équipe, Git, Python, Rigueur, Spark",NA,NA
"OSE ENGINEERING",7,"",NA,"Autonome, Autonôme, Bases de donnée, équipe, Intelligence artificielle, modélisation, Programmation, Python, Rapport, Statistique",NA,NA
"ARTELYS",7,"",3,"Autonome, Autonôme, Deep Learning, équipe, Intelligence artificielle, modélisation, NLP, Prévision, Python, Statistique",NA,NA
"KANBIOS",12,"",3.5,"Anglais, Autonome, Autonôme, Bases de donnée, Communication, Créativité, Curiosité, équipe, Excel, Français, Gestion de Projets, Power BI, Programmation, Python, Résolution de Problèmes, SQL, Statistique, Tableau",NA,NA
"DIGIWIDE",1,"",NA,"",NA,"33"
"SIGHTENGINE",1,"",NA,"",NA,NA
"GROUPE KERING",4,"",NA,"Curious, Data Visualization, English, Excel, French, Python, Reporting, SQL, Statistics",NA,"75"
"LNE",1,"",NA,"",NA,"75"
"MSD",2,"",NA,"Collaboration, Créativité, équipe",NA,"75"
"SURICATE IT",1,"",NA,"Deep Learning",NA,"75"
"JOHNSON & JOHNSON",1,"",NA,"Deep Learning",NA,"92"
"SHIFT TECHNOLOGY",2,"",NA,"English, French, Statistics",NA,"75"
"CAPITAL MANAGEMENT FUND",2,"",NA,"Collaboration, Deep Learning, Python, Statistics",NA,"75"
"LICORNE SOCIETY",2,"",NA,"",NA,"75"
"PUR",1,"",NA,"Deep Learning",NA,"75"
"GRANT THORNTON FRANCE",3,"",NA,"Anglais, Base de donnée, équipe, Excel, Power BI, Programmation, SQL",NA,"92"
"PROFIL",9,"",NA,"Anglais, Autonome, Autonôme, Base de donnée, Bases de donnée, Collaboration, Curiosité, Deep Learning, équipe, Excel, Git, Optimisation, Programmation, Python, Rapport, Reporting, SQL, Statistique, Tableau",33050,"75"
"SYSTEMATHICS",2,"",NA,"data collection, Data Visualization, Python",NA,"75"
"BOSTON CONSULTING GROUP",2,"",NA,"Collaboration, Curious, Git, Project Management, Python, Spark, Statistics",NA,"75"
"RAKUTEN",1,"",NA,"Deep Learning",NA,"75"
"PHILIPS",1,"",NA,"",NA,"75"
"CRÉDIT AGRICOLE S.A.",1,"",NA,"",NA,"92"
"COPERNEEC",2,"",NA,"Deep Learning, équipe, Python",NA,"75"
"SCOR",2,"",NA,"Deep Learning, Natural Language Processing, NLP, Programming, Python",NA,"75"
"ACCORCORPO",1,"",NA,"",NA,"92"
"D3S",1,"",NA,"Deep Learning",50000,"38"
"DASSAULT SYSTÈMES",11,"",NA,"Anglais, Base de donnée, Bases de donnée, C++, Collaboration, Communication, Deep Learning, équipe, Excel, Forecasting, Gestion de Projets, Git, Intelligence artificielle, modélisation, Natural Language Processing, Optimisation, Power BI, Proactif, Programmation, Python, Rapport, Rigueur, SQL, Statistique, Tableau",NA,"78"
"AVISIA",2,"",NA,"AWS, Azure, équipe, Excel, Python, SQL",NA,"75"
"IVALUA",1,"",NA,"Deep Learning",NA,"91"
"LA BANQUE POSTALE",5,"",NA,"Deep Learning, équipe, Excel, Git, modélisation, Python, SQL, Statistique",NA,"75"
"HAGER GROUP",1,"",NA,"",NA,"33"
"FRANÇAISE DES JEUX",1,"",NA,"",NA,"92"
"ROCHE",1,"",NA,"",NA,"75"
"MALAKOFF HUMANIS",4,"",NA,"Autonome, Autonôme, Collaboration, Deep Learning, équipe, Git, Intelligence artificielle, modélisation, NLP, Python, PyTorch, Rapport, Rigueur, Statistique, TensorFlow",NA,"75"
"APPLE",1,"",NA,"Deep Learning",NA,"75"
"CRÉDIT AGRICOLE CONSUMER FINANCE",8,"",NA,"Anglais, Collaboration, équipe, Esprit Critique, Excel, Français, Git, Intelligence artificielle, modélisation, Optimisation, Python, Rapport, Reporting, Rigueur, Statistique, Tableau",NA,"91"
"POLARYS",2,"",NA,"Deep Learning, English, équipe, Rigueur",NA,"92"
"IPSEN PHARMA (SAS)",1,"",NA,"",NA,"92"
"ACSSI",1,"",NA,"",NA,"75"
"MARGO CONSEIL",1,"",NA,"Deep Learning",NA,"75"
"AFTERDATA",1,"",NA,"",NA,"75"
"ORNIKAR",1,"",NA,"",NA,"75"
"BANQUE DE FRANCE",3,"",NA,"Communication, Curiosité, Deep Learning, équipe, Français, Programmation, Python, Statistique",NA,"75"
"SYMPHONYAI",1,"",NA,"Deep Learning",NA,"75"
"FRANFINANCE",1,"",NA,"",NA,"92"
"HP",1,"",NA,"",NA,"38"
"STREEM ENERGY",1,"",NA,"Deep Learning",NA,"75"
"FRETBAY",1,"",NA,"",NA,"75"
"PROSOL",1,"",NA,"",NA,"69"
"AQUILA DATA ENABLER",3,"",NA,"Deep Learning, équipe, modélisation, Optimisation, Prévision, Python, Statistique, Tableau, Visualisation de donnée",NA,"92"
"MBR PARTNERS",1,"",NA,"",NA,"75"
"SULLY GROUP",1,"",NA,"",NA,"38"
"SII",1,"",NA,"",42000,"92"
"KICKLOX",14,"",NA,"Anglais, AWS, Azure, Bases de donnée, Collaboration, Communication, Deep Learning, English, équipe, Excel, Français, French, Git, modélisation, Power BI, Prévision, Programmation, Python, Rapport, Reporting, Résolution de Problèmes, Rigueur, Spark, SQL, Statistique, Tableau, Visualisation de donnée",65000,"78"
"XPDEEP",1,"",NA,"Deep Learning",NA,"38"
"SYNOPSIA",1,"",NA,"",45000,"75"
"ICM INSTITUT DU CERVEAU",1,"",NA,"",40000,"75"
"SPARTEO",1,"",NA,"",NA,"59"
"AIRBUS HELICOPTERS SAS",3,"",NA,"Anglais, Communication, Deep Learning, English, équipe, Français, Git, Python",NA,"13"
"RD2 CONSEIL",2,"",NA,"Anglais, Collaboration, équipe, Intelligence artificielle, Programmation, Python, Statistique",NA,"69"
"EASY CASH",1,"",NA,"",NA,NA
"AIXIAL",1,"",NA,"",NA,"92"
"SCHNEIDER ELECTRIC",5,"",NA,"Anglais, Azure, Communication, Communication Skills, Deep Learning, équipe, Excel, French, Git, NLP, Optimisation, Python, Rigueur, Tableau",NA,"6"
"HOLCIM",2,"",NA,"Data Visualization, Programming, Python",NA,"38"
"BLUE-CONSULTING",2,"",NA,"Deep Learning, Python",NA,"75"
"SKIILS SAS",3,"",NA,"Python, SQL",NA,"75"
"DÉPARTEMENT DU VAL-DE-MARNE",1,"",NA,"",NA,NA
"BALENCIAGA",1,"",NA,"",NA,"75"
"SALOMON",2,"",NA,"Anglais, Autonome, Autonôme, équipe, Excel",NA,"74"
"TOTALENERGIES",6,"",NA,"Anglais, Base de donnée, Bases de donnée, équipe, Excel, Git, modélisation, Power BI, Programmation, Python, Rigueur, Statistique",NA,"92"
"DIALONCE",1,"",NA,"Deep Learning",NA,"75"
"SIACI SAINT HONORE",2,"",NA,"Bases de donnée, équipe, Intelligence artificielle, Programmation, Python, Statistique",NA,"75"
"CEB",1,"",NA,"",NA,"75"
"AIA BORDEAUX",1,"",NA,"",NA,"33"
"DASSAULT AVIATION",1,"",NA,"",NA,NA
"DÉPARTEMENT DE SAÔNE-ET-LOIRE",1,"",NA,"",NA,NA
"VAISALA",1,"",NA,"",NA,"75"
"NOVENCIA",4,"",NA,"Anglais, AWS, Azure, Collaboration, Deep Learning, équipe, Git, Intelligence artificielle, modélisation, NLP, Optimisation, Power BI, Programmation, Python, Rapport, Statistique",NA,"75"
"1G-LINK CONSULTING",2,"",NA,"équipe, Python, SQL",40000,"75"
"NOVO NORDISK",1,"",NA,"",NA,"28"
"NANTES UNIVERSITE",1,"",NA,"",NA,"44"
"NESTLE OPERATIONAL SERVICES WORLDWIDE SA",3,"",NA,"Anglais, équipe, Français, Power BI, Rapport, SQL",NA,"75"
"DOCARET",1,"",NA,"",38000,"33"
"CNRS",2,"",NA,"Anglais, Communication, Contrôle de version, équipe, Gestion de Projets, Git, modélisation, Programmation, Python, Statistique",NA,"38"
"OPÉRA CONSEIL",1,"",NA,"Deep Learning",NA,"69"
"WESMART",1,"",NA,"",45000,"75"
"GENIEM",2,"",NA,"Deep Learning, Python",NA,"59"
"CNES - CENTRE NATIONAL D'ETUDES SPATIALES",2,"",NA,"",NA,"91"
"AIRBUS SAS",1,"",NA,"",NA,"31"
"WEKEY",1,"",NA,"",NA,"79"
"OCDE",2,"",NA,"Anglais, Collaboration, équipe, Éthique et Intégrité, Excel, Français, Git, Power BI, Python, SQL, Statistique, VBA",NA,"75"
"KAÏBEE",1,"",NA,"",NA,"75"
"META",2,"",NA,"Deep Learning, Git, Python, PyTorch",NA,"75"
"VISUARY",1,"",NA,"",NA,"75"
"LANGTON HOWARTH",1,"",NA,"",NA,"75"
"EMERTON GROUP",3,"",NA,"AWS, Azure, Business Acumen, Communication, Communication Skills, English, Excel, French, Git, Google Cloud, Optimization, Programming, Python, SQL, Statistical Modeling, Statistics",NA,"75"
"THALES",6,"",NA,"Base de donnée, Collaboration, Communication, Deep Learning, équipe, Excel, Git, Intelligence artificielle, Programmation, Python, Reporting, Résolution de Problèmes, Rigueur, Spark, SQL, Statistique",NA,"92"
"LITY",1,"",NA,"",80000,"75"
"CHRU DE BREST",1,"",NA,"Deep Learning",NA,"29"
"SATT SUD EST",1,"",NA,"Deep Learning",31000,"13"
"SCIENCE ME UP",1,"",NA,"",NA,NA
"INSTITUT DU CERVEAU",1,"",NA,"",NA,"75"
"STELLANTIS",8,"",NA,"Collaboration, Communication, équipe, Git, Optimisation, Résolution de Problèmes",NA,"78"
"HÔPITAL CAVALE BLANCHE",1,"",NA,"Deep Learning",NA,"29"
"SOMFY GROUP",2,"",NA,"Anglais, équipe, Excel, Français, Git",NA,"74"
"HÔPITAL NATIONAL DES QUINZE-VINGTS",2,"",NA,"Collaboration, Rapport",NA,"75"
"SIÈGE DE L'AP-HP",1,"",NA,"",NA,"75"
"ELAP",1,"",NA,"",NA,"75"
"SNCF",2,"",NA,"équipe, Programmation, Rapport",NA,"75"
"DIAMIDEX",1,"",NA,"Deep Learning",35000,NA
"LA BCI",1,"",NA,"",NA,NA
"AUTOBIZ",1,"",NA,"",NA,"92"
"OPTEAMIS",1,"",NA,"",NA,"75"
