"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"INFOGENE",10,"Secteur informatique, ESN",1,"Communication, équipe, Git, NLP, Python, Rapport, Reporting, SQL",48750,"92"
"ALTECA",7,"Secteur informatique, ESN",0.71,"AWS, Azure, équipe, Hadoop, Optimisation, Power BI, Python, Spark",50000,"59"
"INETUM",31,"Secteur informatique, ESN",7,"AWS, Azure, Bases de donnée, équipe, Excel, Git, Hadoop, Optimisation, Programmation, Python, Spark, SQL, Statistique, Tableau, TensorFlow",NA,"93"
"LIEBHERR-AEROSPACE TOULOUSE",1,"Industrie Aéronautique, Aérospatial",1,"",NA,"31"
"KURIBAY",1,"Industrie Auto, Meca, Navale",1,"",NA,"69"
"SCC",1,"Secteur informatique, ESN",7,"",NA,"92"
"ACTIVUS GROUP",8,"Secteur informatique, ESN",3.25,"équipe, Python, Rapport, Reporting",45400,"31"
"CGI",67,"Secteur informatique, ESN",1.6,"Anglais, Autonome, Autonôme, AWS, Azure, Base de donnée, Bases de donnée, Collaboration, collecte de données, Communication, Curiosité, Dataviz, Deep Learning, équipe, Esprit Critique, Excel, Français, Git, Hadoop, modélisation, Optimisation, Power BI, Programmation, Python, Reporting, Rigueur, Spark, SQL, Statistique, Tableau",NA,"31"
"CRÉDIT AGRICOLE ASSURANCES",9,"Banque, Assurance, Finance",4,"Collaboration, Deep Learning, équipe, Excel, Git, Intelligence artificielle, modélisation, NLP, Optimisation, Power BI, Reporting, Rigueur, Spark, Statistique, Tableau",NA,"75"
"DIOT-SIACI",1,"Banque, Assurance, Finance",1,"",50000,"75"
"BUSINESS & DÉCISION",17,"Secteur informatique, ESN",7,"Azure, Dataviz, Deep Learning, équipe, Hadoop, Power BI, Reporting, Spark, Tableau",NA,"31"
"LIMAGRAIN",1,"Industrie Agro-alimentaire",1,"",NA,"63"
"DELOITTE",8,"Services aux Entreprises",0.33,"Adaptabilité, Anglais, Autonome, Autonôme, Bases de donnée, collecte de données, Communication, Deep Learning, équipe, Esprit Critique, Excel, Git, Hadoop, Intelligence artificielle, modélisation, Optimisation, Power BI, Prévision, Proactif, Programmation, Python, Rapport, Rigueur, Spark, SQL, Statistique, Tableau, TensorFlow",NA,"92"
"CS GROUP",9,"Secteur informatique, ESN",5.44,"équipe, Git, Programmation, Python, Spark, Statistique",NA,"64"
"BERTRANDT",4,"Services aux Entreprises, Industrie Aéronautique, Aérospatial",7,"Base de donnée, Bases de donnée, équipe, Reporting",NA,"31"
"IT&M STATS",1,"Secteur informatique, ESN",NA,"",NA,"75"
"EXTERNATIC RECRUTEMENT",1,"Services aux Entreprises",NA,NA,NA,"44"
"SERVIER",1,"Industrie Pharmaceutique, Biotechn., Chimie",NA,"",NA,"92"
"EXPLEO",10,"Secteur informatique, ESN",7,"Anglais, Autonome, Autonôme, AWS, Azure, Bases de donnée, Collaboration, équipe, Excel, Git, Hadoop, Optimisation, Python, Rapport, Reporting, Spark, SQL, Tableau",NA,"31"
"DAVRICOURT",5,"Secteur informatique, ESN",NA,"Bases de donnée, équipe, Rapport",NA,"59"
"UTIGROUP",7,"Média, Internet, Communication, Distribution, Commerce de gros, Secteur informatique, ESN",7,"équipe, Hadoop, Power BI",40286,"69"
"GROUPE SEB",2,"Distribution, Commerce de gros",0,"Autonome, Autonôme, équipe, Excel, Statistique",NA,"53"
"INNOVA SOLUTIONS",1,"Secteur informatique, ESN",7,"",NA,"6"
"IMT NORD EUROPE",1,"Enseignement, Formation",0,"Deep Learning",NA,"59"
"GROUPE VILAVI",1,"Banque, Assurance, Finance",1,"",NA,"93"
"PROMOVACANCES",1,"Restauration, Tourisme, Hôtellerie, Loisirs",1,"",NA,"75"
"INERIS",4,"Secteur Energie, Environnement",1,"Communication, French",NA,"60"
"NODYA GROUP",4,"Secteur informatique, ESN",7,"AWS, Collaboration, équipe, Optimisation",65333,"13"
